kpi_name,full_date,value,value_type,year,week_number,mine_name,department_name,reporting_date_id,department_id,mine_id
OP - Total Tonnes Mined,2024-09-01,133029.000000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
OP - Total Tonnes Mined,2024-08-26,108360.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
OP - Total Tonnes Mined,2024-08-27,106176.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
OP - Total Tonnes Mined,2024-08-28,99805.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
OP - Total Tonnes Mined,2024-08-29,109284.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
OP - Total Tonnes Mined,2024-08-30,102547.000000,DailyForecast,2024,35,Kibali,Open Cast,20240830,5,4
OP - Total Tonnes Mined,2024-08-31,105719.000000,DailyForecast,2024,35,Kibali,Open Cast,20240831,5,4
OP - Total Tonnes Mined,2024-09-01,114748.000000,DailyForecast,2024,35,Kibali,Open Cast,20240901,5,4
OP - Other Tonnes Moved,2024-08-26,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240826,5,4
OP - Other Tonnes Moved,2024-08-27,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240827,5,4
OP - Other Tonnes Moved,2024-08-28,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240828,5,4
OP - Other Tonnes Moved,2024-08-29,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240829,5,4
OP - Other Tonnes Moved,2024-08-30,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240830,5,4
OP - Other Tonnes Moved,2024-08-31,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240831,5,4
OP - Other Tonnes Moved,2024-09-01,0.000000,DailyActual,2024,35,Kibali,Open Cast,20240901,5,4
OP - Other Tonnes Moved,2024-08-26,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240826,5,4
OP - Other Tonnes Moved,2024-08-27,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240827,5,4
OP - Other Tonnes Moved,2024-08-28,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240828,5,4
OP - Other Tonnes Moved,2024-08-29,0.000000,DailyForecast,2024,35,Kibali,Open Cast,20240829,5,4
